0,1.0
1,0.7910116527166684
2,0.5930842274422112
3,0.40738101149906514
4,0.2351876362053531
5,0.07792494390523164
6,0.07792494390523164
7,0.06307894161509164
8,0.0483994698321939
9,0.03388820221596012
10,0.01954682924637008
11,0.005377058393008838
12,0.005377058393008838
13,0.003969585672743081
14,0.0025638479397598335
15,0.00115984692991411
16,0.00115984692991411
17,0.001019542415584107
18,0.0008792552875989124
19,0.0007389855476964691
20,0.0005987331976164967
21,0.00045849823909716036
22,0.00031828067387840164
23,0.00017808050369927386
24,3.78977302994965e-05
25,3.78977302994965e-05
26,2.3880409849574846e-05
27,9.863263386478138e-06
28,9.863263386478138e-06
29,8.461558309358352e-06
30,7.059854972402135e-06
31,5.658153374943353e-06
32,4.25645351764814e-06
33,2.8547554000724062e-06
34,1.4530590226602413e-06
35,5.136438496755602e-08
36,5.136438496755602e-08
37,5.136438496755602e-08
38,3.734744735695017e-08
39,2.3330509968388924e-08
40,9.313572579827678e-09
